Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ000003Notp2AC,Recombinant Zoster Vaccine,A-04290,SHINGRIX,Recombinant Zoster Vaccine,GLAXOSMITHKLINE NZ LIMITED,"Prevention of herpes zoster and post-herpetic neuralgia, people at 50 years of age and a catch-up program  for people 51 to 64 years",Options Compared,Recombinant Zoster Vaccine (SHINGRIX),/apptracker/s/application-public/a102P00000BUKrt,National Immunisation Schedule
a0ROZ0000046xHd2AI,Recombinant Zoster Vaccine,A-04290 A-04447 A-04325,SHINGRIX,Recombinant Zoster Vaccine,"GLAXOSMITHKLINE NZ LIMITED, Auckland City Hospital, Clinician",Prevention of herpes zoster in immunocompromised adults,Decision,Recombinant Zoster Vaccine (SHINGRIX),/apptracker/s/application-public/a102P00000BUKrF,
a0ROZ000007hqPH2AY,Recombinant Zoster Vaccine,A-04902,Shingrix,Recombinant Zoster Vaccine,Clinician,Catch-up programme due to COVID-19 pandemic disruption,Options Compared,Recombinant Zoster Vaccine (Shingrix),/apptracker/s/application-public/a10OZ000000UvLp,
a0ROZ000009A8qn2AC,Recombinant Zoster Vaccine,A-04290,SHINGRIX,Recombinant Zoster Vaccine,GLAXOSMITHKLINE NZ LIMITED,"Prevention of herpes zoster in adults aged 66 to 74 years, plus catch up for those aged 75 years and over",Options Compared,Recombinant Zoster Vaccine (SHINGRIX),/apptracker/s/application-public/a10OZ000000ioHF,
a0ROZ000009A8qj2AC,Recombinant Zoster Vaccine,A-04290,SHINGRIX,Recombinant Zoster Vaccine,GLAXOSMITHKLINE NZ LIMITED,People over 65 years of age who require a Shingrix catch-up at least 5 years post Zostavax,Options Compared,Recombinant Zoster Vaccine (SHINGRIX),/apptracker/s/application-public/a102P00000BUKp9,National Immunisation Schedule
a0ROZ00000D1Wj82AF,Recombinant zoster vaccine (Shingles vaccine),A-05271,Shingrix,Recombinant zoster vaccine (Shingles vaccine),Clinician,Prevention of shingles in immunocompromised people - widen access to additional immunocompromised groups,Seeking Clinical Advice,Recombinant zoster vaccine (Shingles vaccine) (Shingrix),/apptracker/s/application-public/a10OZ000003GCQ5,
a0R2P000000fsK4UAI,Recombinant Zoster Vaccine (Shingrix),A-04290,SHINGRIX,Recombinant Zoster Vaccine (Shingrix),GLAXOSMITHKLINE NZ LIMITED,"People at 65 years of age, for the prevention of herpes zoster and post-herpetic neuralgia",Decision,Recombinant Zoster Vaccine (Shingrix) (SHINGRIX),/apptracker/s/application-public/a102P00000BRHo8,National Immunisation Schedule
a0R2P000000LmnNUAS,Rotavirus vaccine,A-01266,Rotavirus vaccine,Rotavirus vaccine,Merck Sharp & Dohme,Vaccine against rotavirus in infants less than 6 months old,Decision,Rotavirus vaccine (Rotavirus vaccine),/apptracker/s/application-public/a102P000008ptsN,National Immunisation Schedule
a0ROZ00000BcrzR2AR,RSVPreF3 Vaccine,A-04909,Arexvy,RSVPreF3 Vaccine,GLAXOSMITHKLINE NZ LIMITED,prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus RSV-A and RSV-B subtypes in adults 60 years of age and older,Seeking Clinical Advice,RSVPreF3 Vaccine (Arexvy),/apptracker/s/application-public/a10OZ000000aMGX,
a0R2P000000MW0oUAG,Tetanus vaccine,A-01271,,Tetanus vaccine,PHARMAC Initiated,Hospital listing,Decision,Tetanus vaccine,/apptracker/s/application-public/a102P000008puFB,National Immunisation Schedule
a0R2P000000LmTcUAK,Vaccines,A-01410,,Vaccines,PHARMAC Initiated,"Revaccination after HSCT, solid organ transplant, or chemotherapy",Decision,Vaccines,/apptracker/s/application-public/a102P000008puUI,National Immunisation Schedule
a0R2P000000TFTIUA4,Varicella vaccine,A-01268,Varicella vaccine,Varicella vaccine,PHARMAC Initiated,Universal varicella vaccination,Decision,Varicella vaccine (Varicella vaccine),/apptracker/s/application-public/a102P000008ptpq,National Immunisation Schedule
a0R2P000000LmhFUAS,Varicella vaccine,A-00216,,Varicella vaccine,Clinician,"Widening access, including amending cocooning rules",Decision,Varicella vaccine,/apptracker/s/application-public/a102P000008puDy,National Immunisation Schedule
a0R2P000000LmkkUAC,Varicella vaccine,A-01402,,Varicella vaccine,PHARMAC Initiated,Immunisation of high risk patients,Decision,Varicella vaccine,/apptracker/s/application-public/a102P000008puhB,National Immunisation Schedule
a0R2P000000TGQ2UAO,Zoster vaccine live,A-00361,,Zoster vaccine live,Merck Sharp & Dohme,"Vaccination for herpes zoster, catchup program",Decision,Zoster vaccine live,/apptracker/s/application-public/a102P000008pu8G,National Immunisation Schedule
a0R2P000000TGOfUAO,Zoster vaccine live,A-00278,,Zoster vaccine live,Merck Sharp & Dohme,Vaccination for herpes zoster,Decision,Zoster vaccine live,/apptracker/s/application-public/a102P000008ptts,National Immunisation Schedule
a0R2P000000LmniUAC,Pertussis maternal vaccination,A-00696,,Pertussis maternal vaccination,PHARMAC Initiated,Widen Access - all pregnant women,Decision,Pertussis maternal vaccination,/apptracker/s/application-public/a102P000008pu1u,National Immunisation Schedule
a0ROZ00000DL6an2AD,Quadrivalent meningococcal conjugate (MenACWY-T),A-05455,Bexsero  MenQuadfi,Quadrivalent meningococcal conjugate (MenACWY-T),Clinician,Booster dose for adolescents on entering a second congregate setting,Seeking Clinical Advice,Quadrivalent meningococcal conjugate (MenACWY-T) (Bexsero  MenQuadfi),/apptracker/s/application-public/a10OZ000007O83d,National Immunisation Schedule
a0R2P000000MSKmUAO,"1 kcal/ml, 4.3 g protein, 11.3 g carbohydrate and 4.2 g fat per 100 ml - Cubison",A-01513,Cubison,"Enteral feed, 1 kcal/ml, 4.3 g protein, 11.3 g carbohydrate and 4.2 g fat per 100 ml - Cubison",Pharmac Initiated,Hospital listing,Decision,"Enteral feed, 1 kcal/ml, 4.3 g protein, 11.3 g carbohydrate and 4.2 g fat per 100 ml - Cubison (Cubison)",/apptracker/s/application-public/a102P000008puet,Special Foods
a0R2P000000OZ49UAG,Acamprosate Calcium,A-01418,,Acamprosate Calcium,PHARMAC Initiated,Alcohol dependence,Decision,Acamprosate Calcium,/apptracker/s/application-public/a102P000008pu8H,Nervous System
a0R2P000000MwSSUA0,Acetylcysteine eye drops,A-01420,,Acetylcysteine eye drops,PHARMAC Initiated,Hospital listing,Decision,Acetylcysteine eye drops,/apptracker/s/application-public/a102P000008puDI,Sensory Organs
a0R2P000000MW9WUAW,Acetylcysteine tablet eff 600 mg,A-01419,,Acetylcysteine tablet eff 600 mg,PHARMAC Initiated,Antidote,Decision,Acetylcysteine tablet eff 600 mg,/apptracker/s/application-public/a102P000008puTZ,Various
a0R2P000000Lmq1UAC,Acitretin,A-00258,"Neotigason,Novatretin",Acitretin,PHARMAC Initiated,"Widening access, including removal of",Decision,"Acitretin (Neotigason,Novatretin)",/apptracker/s/application-public/a102P000008puCu,Dermatologicals
a0R2P000000LmkdUAC,Adalimumab,A-00782,Humira,Adalimumab,PHARMAC Initiated,Ankylosing spondylitis amended access,Decision,Adalimumab (Humira),/apptracker/s/application-public/a102P000008pugZ,Oncology Agents and Immunosuppressants
a0R2P000000LmpOUAS,Adalimumab,A-01066,,Adalimumab,PHARMAC Initiated,Psoriatic arthritis; widen access,Decision,Adalimumab,/apptracker/s/application-public/a102P000008puB7,Oncology Agents and Immunosuppressants
a0R2P000000LmUCUA0,"Adalimumab, Etanercept",A-01323,"Enbrel,Humira,Humirapen","Adalimumab, Etanercept",PHARMAC Initiated,Pyoderma gangrenosum,Decision,"Adalimumab, Etanercept (Enbrel,Humira,Humirapen)",/apptracker/s/application-public/a102P000008puNE,Dermatologicals
a0ROZ0000006h2H2AQ,"Alendronate sodium, with or without colecalciferol",A-00754,,"Alendronate sodium, with or without colecalciferol",PHARMAC Initiated,Removal of funding restrictions,Decision,"Alendronate sodium, with or without colecalciferol",/apptracker/s/application-public/a102P000008puCM,Musculoskeletal System
a0R2P000000MW0UUAW,Alfacalcidol injection,A-01421,,Alfacalcidol injection,PHARMAC Initiated,Vitamin D supplement,Decision,Alfacalcidol injection,/apptracker/s/application-public/a102P000008ptvC,Alimentary Tract and Metabolism
a0R2P000000OB8jUAG,Almond oil,A-01422,,Almond oil,PHARMAC Initiated,Hospital listing,Decision,Almond oil,/apptracker/s/application-public/a102P000008puax,Extemporaneous Compounds
a0R2P000000MQtoUAG,Amoxycillin paediatric drops,A-01425,"Amoxil Paediatric Drops,Ospamox Paediatric Drops",Amoxycillin paediatric drops,PHARMAC Initiated,Hospital listing,Decision,"Amoxycillin paediatric drops (Amoxil Paediatric Drops,Ospamox Paediatric Drops)",/apptracker/s/application-public/a102P000008puB6,Infections - Agents for Systemic Use
a0R2P000000TW8uUAG,"anti-inflammatory drugs (NSAIDs) - Diclofenac, Ibuprofen, Ketoprofen, Piroxicam",A-00378,,"Topical non-steroidal anti-inflammatory drugs (NSAIDs) - Diclofenac, Ibuprofen, Ketoprofen, Piroxicam",PHARMAC Initiated,Osteoarthritis,Options Compared,"Topical non-steroidal anti-inflammatory drugs (NSAIDs) - Diclofenac, Ibuprofen, Ketoprofen, Piroxicam",/apptracker/s/application-public/a102P000008puNS,Musculoskeletal System
a0R2P000000LmZuUAK,Antiretrovirals,A-01397,,Antiretrovirals,PHARMAC Initiated,Antiretrovirals for HIV prophylaxis (non-occupational exposure),Decision,Antiretrovirals,/apptracker/s/application-public/a102P000008pua4,Infections - Agents for Systemic Use
a0R2P000000LmWxUAK,Antiretrrovirals,A-00826,,Antiretrrovirals,PHARMAC Initiated,HIV - increasing the number subsidised to permit access to optimised background therapy (OBT),Decision,Antiretrrovirals,/apptracker/s/application-public/a102P000008ptx0,Infections - Agents for Systemic Use
a0R2P000000LmdHUAS,"Anxiolytics, Sedatives and hypnotics - Various benzodiazepines and zopiclone",A-00962,,"Anxiolytics, Sedatives and hypnotics - Various benzodiazepines and zopiclone",PHARMAC Initiated,Removing the month restriction,Decision,"Anxiolytics, Sedatives and hypnotics - Various benzodiazepines and zopiclone",/apptracker/s/application-public/a102P000008pubx,Nervous System
a0R2P000000MR1jUAG,Arnica cream,A-01429,,Arnica cream,PHARMAC Initiated,Hospital listing,Decision,Arnica cream,/apptracker/s/application-public/a102P000008pubU,Musculoskeletal System
a0R2P000000MTbmUAG,"Arnicia, Hypericum oil - Anti-Flamme cream",A-00045,,"Arnicia, Hypericum oil - Anti-Flamme cream",PHARMAC Initiated,Hospital listing,Decision,"Arnicia, Hypericum oil - Anti-Flamme cream",/apptracker/s/application-public/a102P000008puc5,Musculoskeletal System
a0R2P000000MW0ZUAW,"Ascorbic acid injections, 500 mg per 5 ml",A-01392,,"Ascorbic acid injections, 500 mg per 5 ml",PHARMAC Initiated,Hospital listing,Decision,"Ascorbic acid injections, 500 mg per 5 ml",/apptracker/s/application-public/a102P000008puL5,Blood and Blood Forming Organs
a0R2P000000MW0PUAW,Ascorbic acid large chewable tablets (500 mg and 1 g),A-01426,,Ascorbic acid large chewable tablets (500 mg and 1 g),PHARMAC Initiated,Hospital listing,Decision,Ascorbic acid large chewable tablets (500 mg and 1 g),/apptracker/s/application-public/a102P000008puca,Alimentary Tract and Metabolism
a0R2P000000LmeRUAS,Atomoxetine,A-00752 A-00753,,Atomoxetine,"PHARMAC Initiated, Generic Partners",Removal of funding restrictions,Decision,Atomoxetine,/apptracker/s/application-public/a102P000008pttw,Nervous System
a0ROZ000004CaLZ2A0,Atropine 0.5% eye drops,A-01054,,Atropine 0.5% eye drops,Pharmac Initiated,Congenital cataract surgery - paediatric patients,Decision,Atropine 0.5% eye drops,/apptracker/s/application-public/a102P000008ptxz,Sensory Organs
a0ROZ0000008ZTd2AM,Bart's Solution - Glucose 4% with sodium chloride 0.18%,A-00018,,Bart's Solution - Glucose 4% with sodium chloride 0.18%,PHARMAC Initiated,Hospital listing,Decision,Bart's Solution - Glucose 4% with sodium chloride 0.18%,/apptracker/s/application-public/a102P000008pu9E,Blood and Blood Forming Organs
a0R2P000000Lmb3UAC,"Beclomethasone dipropionate, extra fine aerosol inhalers",A-01342,"Qvar 100,Qvar 50","Beclomethasone dipropionate, extra fine aerosol inhalers",PHARMAC Initiated,Reversible obstructive airways disease,Decision,"Beclomethasone dipropionate, extra fine aerosol inhalers (Qvar 100,Qvar 50)",/apptracker/s/application-public/a102P000008puRq,Respiratory System and Allergies
a0ROZ0000001M1h2AE,Bee and wasp venom allergy treatment,A-00256,Albay,Bee and wasp venom allergy treatment,PHARMAC Initiated,Removal of Special Authority,Options Compared,Bee and wasp venom allergy treatment (Albay),/apptracker/s/application-public/a102P000008puiG,Respiratory System and Allergies
a0ROZ0000012YUr2AM,Benzoyl peroxide topical preparation 2.5% to 5%,A-01394,,Benzoyl peroxide topical preparation 2.5% to 5%,PHARMAC Initiated,Acne vulgaris,Under Assessment,Benzoyl peroxide topical preparation 2.5% to 5%,/apptracker/s/application-public/a102P000008puCG,Dermatologicals
a0R2P000000LmXiUAK,Benzydamine Hcl,A-01337,Difflam,Benzydamine Hcl,PHARMAC Initiated,Oral mucositis as a result of treatment for cancer,Decision,Benzydamine Hcl (Difflam),/apptracker/s/application-public/a102P000008pu0N,Oncology Agents and Immunosuppressants
a0R2P000000LmolUAC,Bicalutamide,A-00255,Bicalaccord,Bicalutamide,PHARMAC Initiated,Removal of Special Authority,Decision,Bicalutamide (Bicalaccord),/apptracker/s/application-public/a102P000008pu36,Oncology Agents and Immunosuppressants
a0R2P000000LmrfUAC,Bortezomib,A-01030,Velcade,Bortezomib,PHARMAC Initiated,Multiple myeloma-Bridge to transplant,Decision,Bortezomib (Velcade),/apptracker/s/application-public/a102P000008puGe,Oncology Agents and Immunosuppressants
a0R2P000000MwSKUA0,Bromhexine,A-01391,,Bromhexine,PHARMAC Initiated,Respiratory conditions,Decision,Bromhexine,/apptracker/s/application-public/a102P000008puiI,Respiratory System and Allergies
a0R2P000000MQttUAG,Bromocriptine 10 mg tablet,A-01428,,Bromocriptine 10 mg tablet,PHARMAC Initiated,Parkinson's disease,Decision,Bromocriptine 10 mg tablet,/apptracker/s/application-public/a102P000008pu1E,Nervous System
a0R2P000000Lmr6UAC,Budesonide,A-00924 A-00925,Entocort CIR,Budesonide,"PHARMAC Initiated, Clinician",Microscopic colitis,Decision,Budesonide (Entocort CIR),/apptracker/s/application-public/a102P000008puHb,Alimentary Tract and Metabolism
a0ROZ000008FImP2AW,Budesonide and Formoterol Inhalers,A-03669 A-04400,,Budesonide and Formoterol Inhalers,"Pharmac Initiated, Clinician","Asthma, dispensing in greater quantities than one (STAT dispensing) and add to Practitioner's supply order (PSO) list",Decision,Budesonide and Formoterol Inhalers,/apptracker/s/application-public/a102P00000AlhdU,Respiratory System and Allergies
a0R2P000000MR1eUAG,"Bupivacaine hydrochloride with adrenaline, various formulations",A-01451,,"Bupivacaine hydrochloride with adrenaline, various formulations",PHARMAC Initiated,Hospital listing,Decision,"Bupivacaine hydrochloride with adrenaline, various formulations",/apptracker/s/application-public/a102P000008puAs,Nervous System
a0R2P000000OcirUAC,"Bupivacaine hydrochloride, inj 3.75 mg per ml, 20 ml",A-01450,,"Bupivacaine hydrochloride, inj 3.75 mg per ml, 20 ml",PHARMAC Initiated,Hospital listing,Decision,"Bupivacaine hydrochloride, inj 3.75 mg per ml, 20 ml",/apptracker/s/application-public/a102P000008puAv,Nervous System
a0R2P000000MR1oUAG,"Buprenorphine injection (0.3 mg per ml, 1ml ampoule)",A-01453,,"Buprenorphine injection (0.3 mg per ml, 1ml ampoule)",PHARMAC Initiated,Hospital listing,Decision,"Buprenorphine injection (0.3 mg per ml, 1ml ampoule)",/apptracker/s/application-public/a102P000008pu0r,Nervous System
a0R2P000000MW0KUAW,"Calcium folinate injection, 1 mg per ml, 50 ml",A-01454,,"Calcium folinate injection, 1 mg per ml, 50 ml",PHARMAC Initiated,Hospital listing,Decision,"Calcium folinate injection, 1 mg per ml, 50 ml",/apptracker/s/application-public/a102P000008pu2J,Oncology Agents and Immunosuppressants
a0R2P000000Lmm3UAC,Candesartan cilexetil,A-01081,Candestar,Candesartan cilexetil,PHARMAC Initiated,Removal of Special Authority,Decision,Candesartan cilexetil (Candestar),/apptracker/s/application-public/a102P000008puib,Cardiovascular System
a0R2P000000MQfDUAW,Capreomycin Sulphate,A-01455,Capastat,Capreomycin Sulphate,PHARMAC Initiated,Hospital listing,Decision,Capreomycin Sulphate (Capastat),/apptracker/s/application-public/a102P000008puc7,Infections - Agents for Systemic Use
a0R2P000000OURBUA4,Carboxymethyl cellulose with propylene glycol,A-00055,,Carboxymethyl cellulose with propylene glycol,PHARMAC Initiated,Hospital listing,Decision,Carboxymethyl cellulose with propylene glycol,/apptracker/s/application-public/a102P000008pu9w,Extemporaneous Compounds
a0ROZ00000DqVY52AN,Carboxypeptidase G2,A-01411,,Carboxypeptidase G2,Pharmac Initiated,Methotrexate overdose,Options Compared,Carboxypeptidase G2,/apptracker/s/application-public/a102P000008pu4B,Oncology Agents and Immunosuppressants
